x_mm y_mm z_mm
-103.886066 32.048664 -63.246428
-103.915498 6.172048 -55.870717
-103.919561 -22.062518 -59.077753
-103.890893 22.107165 -58.932302
-103.822130 -33.738573 -63.791073
-103.817166 33.670586 -63.503117
-103.704981 -7.811223 -55.800072
-103.729918 7.760591 -55.964791
-103.788146 -20.431963 -58.387706
-103.748852 20.413867 -58.293113
-103.744002 -15.628333 -57.185607
-103.740321 15.608646 -56.937439
-103.704275 -35.422889 -64.359212
-103.669776 -18.802254 -57.881056
-103.635328 18.766236 -57.541765
-103.557233 -9.323958 -55.706462
-103.628471 9.310598 -55.727594
-103.586348 0.005769 -55.210254
-103.600325 1.583534 -54.983115
-103.586179 -26.927483 -60.414929
-103.589588 26.915832 -60.845309
-103.605030 -28.567619 -61.429937
-103.559516 28.587517 -61.074271
-103.530530 -25.281901 -60.278878
-103.557191 -30.244571 -61.895595
-103.543275 14.063331 -56.408597
-103.474596 -23.676913 -58.856675
-103.488656 23.609116 -58.781374
-103.511226 -31.925202 -62.738129
-103.502596 17.148241 -57.187072
-103.411423 -10.899116 -55.502444
-103.460648 -6.242003 -55.273447
-103.488770 -22.008622 -58.489228
-103.450861 21.960576 -58.376185
-103.401462 -33.638237 -63.329052
-103.338852 -12.431216 -55.503089
-103.252108 -35.265313 -63.825081
-103.175518 -18.709557 -57.441619
-103.230909 18.735901 -57.242561
-103.168511 -9.291675 -55.074926
-103.208217 9.328585 -55.239991
-103.196886 -0.022320 -54.592649
-103.146143 -1.519700 -54.382498
-103.186883 26.812403 -59.610145
-103.174605 3.068877 -54.277065
-103.165049 -30.135150 -61.572886
-103.117717 -14.027951 -55.689618
-103.119941 13.977209 -55.810143
-103.106226 -23.564668 -58.533621
-103.095348 23.553857 -58.367890
-103.079508 4.597783 -54.242549
-103.063920 -31.795017 -61.722124
-103.050622 -17.118062 -56.500481
-103.000599 -10.866181 -55.158700
-103.035724 -21.911710 -57.996730
-103.057244 6.193760 -53.816391
-103.002642 33.460691 -62.766799
-102.898869 20.226441 -56.925946
-102.920841 7.707793 -54.003392
-102.875403 15.529609 -55.805869
-102.884628 -35.115388 -63.309181
-102.933711 35.141980 -63.092388
-102.890114 -12.403532 -55.190168
-102.880214 12.400799 -55.456340
-102.826739 -18.680476 -56.613721
-102.794053 18.627865 -56.083011
-102.742485 0.021655 -53.993269
-102.775998 -1.553819 -53.679847
-102.757518 1.610286 -53.980712
-102.797067 26.716898 -59.019544
-102.792838 28.342605 -59.611194
-102.731446 -36.794510 -63.927951
-102.773183 -25.086523 -58.311075
-102.763009 25.098110 -58.307080
-102.685589 3.136930 -53.975981
-102.725820 -23.442739 -57.707934
-102.700096 23.458926 -58.010975
-102.653580 31.686159 -61.098052
-102.729679 4.589106 -53.770056
-102.632884 -17.018484 -55.911946
-102.665672 17.030544 -55.433964
-102.658095 10.784586 -54.305001
-102.594848 21.797988 -56.930028
-102.583156 33.343867 -62.101812
-102.579819 6.111717 -53.744202
-102.551883 -20.201356 -56.499499
-102.495781 20.174357 -55.944899
-102.531008 7.645436 -53.651268
-102.466937 -35.038016 -62.350881
-102.481103 34.980970 -62.602326
-102.490308 -15.518572 -54.721760
-102.428354 15.504666 -55.269960
-102.479623 -12.361158 -54.200529
-102.465440 12.352652 -54.452580
-102.325282 9.257734 -53.754252
-102.386430 -0.064460 -53.310881
-102.425444 -36.638165 -63.359843
-102.363485 26.598694 -58.321401
-102.409374 -28.236483 -59.080329
-102.360584 28.232286 -58.881019
-102.352346 -1.560015 -53.193529
-102.349457 1.533461 -53.241454
-102.307896 24.967530 -58.128598
-102.309189 -29.879718 -59.827082
-102.369756 29.915821 -59.573351
-102.247820 3.079146 -53.267141
-102.268167 -23.324598 -56.864246
-102.283446 23.351933 -56.599926
-102.276377 -31.610677 -60.224861
-102.265675 13.878172 -54.576961
-102.196712 4.621520 -53.401482
-102.179336 17.042257 -55.122979
-102.199266 10.723476 -53.500301
-102.186071 -21.710617 -56.509776
-102.221724 21.747273 -56.526535
-102.156299 33.240273 -60.928441
-102.199083 6.153315 -53.162410
-102.102737 -20.164722 -55.941870
